They say no again.|Они снова говорят нет.|human
This week the UN's humanitarian chief warned that Afghanistan's economic collapse was "happening before our eyes" and urged the international community to take action to stop "the freefall" before it leads to more deaths.|На этой неделе координатор гуманитарной помощи ООН предупредил о том, что экономический коллапс Афганистана «происходит на наших глазах», и призвал международное сообщество принять меры по предотвращению «полного краха», пока это не привело к гибели еще большего числа людей.|human
Martin Griffiths said: "It's getting more and more dire by the week."|Мартин Гриффитс отметил: «С каждой неделей ситуация ухудшается».|human
The funding announcement comes after ministers this week faced awkward questions about the Afghan withdrawal effort following a whistleblower's evidence to MPs.|Заявление о финансировании было сделано после того, как на этой неделе министрам задали неудобные вопросы о ходе вывода войск из Афганистана, последовавшие за свидетельством информатора перед членами парламента.|human
Needless to say, it was chaos.|Не нужно говорить, что это был полный беспорядок.|human
At the time this happened, we were pretty busy, and I had a line of customers, but Karen decides to skip the line to ask me where something was.|Когда это произошло, мы были очень заняты и покупатели выстроились в очередь, но Карен решила влезть без очереди и спросить, где находится нечто.|human
I don't remember the exact item, but it was something like paper plates (or something that would be near them...plastic forks?|Я не помню точно, что это был за товар, но это было нечто вроде одноразовых тарелок (или что-то похожее... одноразовые вилки?|human
straws?).|соломинки?).|human
Since I had a line of customers, I couldn't leave to help her locate, so I told her "I believe they are now on aisle 7."|Так как у меня была очередь покупателей, я не мог отойти, чтобы помочь ей найти это, поэтому я сказал ей «Думаю, теперь они в ряду 7».|human
Before I can even get on my walkie to ask someone for sure, she storms off.|Прежде, чем я успел взять рацию и попросить кого-нибудь наверняка, она унеслась прочь.|human
Only to come storming back a couple of minutes later to tell me they are not there.|Только ради того, чтобы через пару минут вернуться и сказать мне, что их там нет.|human
A manager is now nearby, so I ask him if he can help her, and I tell him that I thought they were on 7, but she said they were not.|Сейчас менеджер поблизости, поэтому я спрашиваю его, может ли он ей помочь и говорю, что я думал, что они в 7-м, но она сказала, что их там нет.|human
He looks confused and says "OK, maybe they are on 8.|Он выглядит растерянно и говорит: «Хорошо, может быть они в 8-м.|human
I'll help you find them, ma'am."|Я помогу вам найти их, мадам».|human
As they are about to walk away, she turns to me and says "You should know better than to tell someone where something is if you don't actually know".|Они уже собираются уходить, а она поворачивается ко мне и говорит: «Вы должны понимать, что не нужно говорить кому-либо, где что-то находится, если вы сами не знаете».|human
Tap Repair.|Нажмите «Восстановить».|human
Specifically designed for all engine vacuum lines, carburettor vent hoses, fuel tank vent hoses, coolant overflow, and emission control, and can be used for washer tubing and wire insulation.|Они специально разработаны для всех вакуумных систем двигателей, продувочных шлангов карбюраторов, продувочных шлангов топливных баков, переливных шлангов систем охлаждения и регулирования выхлопа и могут применяться для водопроводных систем и изоляции проводки.|human
Suitable for low pressure installations only.|Подходит только для систем с низким давлением.|human
Samco’s vacuum hose is not designed to carry oil, fuel or for continuous transfer of pressurised hot water.|Вакуумные шланги Samco не предназначены для передачи масла, топлива или длительной передачи горячей воды под давлением.|human
Featuring an incredible stretch characteristic in diameter, allowing the hose to stretch onto a connection for a perfect seal (i.e. you can stretch a 3mm I.D hose onto a 5mm O.D connection).|Обладает отличной эластичностью в диаметре, позволяя натянуть шланг на соединение, образуя идеальную изоляцию (например, можно натянуть шланг с внутренним диаметром 3 мм на соединение с внешним диаметром 5 мм).|human
Add 5 double wire clamps to your order for just 99p, perfect for securing the vacuum hose in place!|Добавьте к заказу 5 двойных зажимов для проводки всего за 99 пенни, идеальных для фиксирования вакуумных шлангов!|human
With more than 12 years’ experience of dealing with aftermarket Samco Sport performance silicone hoses, we are proud to be the world’s leading motorcycle silicone hose specialist distributor.|Имея более 12 лет опыта работы с бывшими в употреблении высокопроизводительными силиконовыми шлангами Samco Sport, мы с гордостью носим звание ведущего в мире специализированного поставщика мотоциклетных силиконовых шлангов.|human
With a large stock of universal race parts options, we strive on 100% service.|Предлагая широкий ассортимент универсальных гоночных комплектующих, мы стремимся к 100 % качеству обслуживания.|human
Samco Sport Vacuum hose has a whole host of applications: emission control, radiator overflow, windscreen washers and perfect for carburetor vent hose replacement on motocross and road bike applications.|Вакуумные шланги Samco Sport обладают целым списком сфер применения: управление выхлопом, переливные шланги радиаторов, омыватели ветрового стекла, и идеально подходят для замены продувочных шлангов карбюратора, а также в области мотокроссов и шоссейных заездов.|human
This is a great product and suitable for all bikes, cars and commercial applications.|Это отличный товар, подходящий для всех мотоциклов, автомобилей и коммерческих сфер применения.|human
Add 5 double wire clamps to your order for just 99p, perfect for securing the vacuum hose in place!|Добавьте к заказу 5 двойных зажимов для проводки всего за 99 пенни, идеальных для фиксирования вакуумных шлангов!|human
Not suitable for high pressure water installations or hot water systems.|Не подходит для водопроводных систем высокого давления или для передачи горячей воды.|human
I'm sorry but I don't see that you have sign in to your account, unless you have another account.|Я извиняюсь, но я не вижу, что вы вошли в свою учетную запись, если только у вас нет другой учетной записи.|human
If this the case please let me know the email you are already signed in on the ereader.|В таком случае сообщите мне электронную почту, с которой вы уже вошли в учетную запись на электронной книге.|human
Even if you don't know your password you can create a new password by following the steps I sent.|Даже если вы не знаете свой пароль, вы можете создать новый пароль, следуя тем инструкциям, которые я вам выслал.|human
But don't worry, I can also send the link to reset your password|Но не беспокойтесь, я могу также выслать ссылку для сброса пароля|human
In addition to the above item, we have over 250,000 comics in stock, including both back issues and new items.|В дополнение к указанному выше, мы имеем около 250 000 комиксов в наличии, включая прошлые выпуски и новые товары.|human
All our comics are supplied from our real world store enabling us to offer a huge range of comics via auction.|Все наши комиксы поставляются из нашего настоящего магазина, что позволяет нам предлагать огромный ассортимент комиксов на аукционе.|human
We've probably got what you're looking for!|Мы, возможно, получили то, что вы искали!|human
This item is an original American comic and is in English!|Этот товар — оригинальный американский комикс, и он на английском языке!|human
Please take the time to review both the attached cover scan and detailed grade description above to ensure that this particular comic is in the condition you require.|Пожалуйста, уделите время, чтобы просмотреть как прилагаемый скан обложки, так и подробное описание категории выше, и убедиться, что конкретно этот комикс находится в том состоянии, которое вам требуется.|human
They DO NOT have to be multiple copies of the same item.|Они НЕ должны быть несколькими копиями того же товара.|human
This move is just the latest twist in the Dallas-Washington rivalry, one that got juiced up even more this week when Cowboys head coach Mike McCarthy predicted a win for his team, prompting some fireworks back and forth with Washington's Ron Rivera and players.|Это самый недавний поворот в соперничестве команд Далласа и Вашингтона, которое стало еще интереснее на этой неделе, когда главный тренер Ковбойс Майк Маккарти спрогнозировал победу своей команды, вызвав горячую дискуссию с игроками из Вашингтона и их тренером Роном Риверой.|human
Washington has beaten the Cowboys in consecutive matchups.|Несколько встреч подряд Вашингтон одерживал победы над Ковбойс.|human
We've always had our greatest fan support positive coming from Washington, that's outside the Dallas area.|Мы всегда получали огромную поддержку от болельщиков из Вашингтона, который не относится к округу Даллас.|human
Outside the Texas area, Washington is where we have the most support of all when it comes to all the things you might count."|За пределами Техаса больше всего поддержки исходит из Вашингтона, если речь заходит обо всем, что можно посчитать».|human
In that time, the Defense Force is eligible to demand you take part in some military exercises once or twice a year for approx 2 weeks per year.|В это время вооруженные силы имеют право отдать вам приказ, на участие в военной подготовке один или два раза в год, примерно в течение двух недель за год.|human
However, you are not mandated to go on a foreign mission.|Однако вы не обязаны участвовать в зарубежных операциях.|human
If you want to do that, you have to join the "scouts battalion" where you will be a professional military dude with pay and such.|Если вы хотите этим заниматься, вам придется поступить в разведывательный батальон, где вы будете профессиональным военным парнем с жалованием и прочим.|human
I am just wondering how is it for other countries?|Мне просто интересно, как это в других странах?|human
If you join the military in, for example, the USA or the UK, then are you mandated to go fight in another country?|Если вы поступаете в армию, например, США или Великобритании, обязаны ли вы идти сражаться в другую страну?|human
What do you guys think about mandatory military service?|Ребята, что вы думаете по поводу обязательной военной службы?|human
Unfortunately though, we really didn't have much time to socialize and I didn't get to ask those guys in person what it's like for them to serve in their country's military.|Однако, к сожалению, у нас действительно не было времени на общение и мне не удалось лично спросить тех ребят, каково им было служить в армии своих стран.|human
I know that there are probably mostly NATO members in this subreddit, but it would be interesting to hear from other (non-NATO) countries as well.|Я знаю, что, вероятно, большинство на этом подфоруме — члены НАТО, но интересно было бы также услышать ответ и из других стран (не членов НАТО).|human
Sorry for my poor grammar.|Извините меня за грамматические ошибки.|human
English is my second language.|Английский — мой второй язык.|human
Should we just keep allowing them to "audit" votes until they get the results they want?|Может, нам стоит просто позволить им «перепроверять» количество голосов до тех пор, пока они не получат нужный им результат?|human
If there are no results produced here, they'll ask for another audit.|Если результатов не будет, они потребуют провести экспертизу повторно.|human
Or they'll claim that shredded ballots were fed to chickens that were then incinerated.|Или они будут утверждать, что измельченные бюллетени скормили цыплятам, которых затем обратили в пепел.|human
We've already done this.|Мы это уже сделали.|human
Twice.|Дважды.|human
I am saving money to move.”|Я коплю деньги на переезд».|human
This is really rare.|Это действительно редкость.|human
Where is she moving?|Куда она переезжает?|human
So she sort of has to move to where family is in that city.|Поэтому ей, так сказать, пришлось переехать в тот город, где была ее семья.|human
She’ll go blight another workplace, but at least not mine.|Она будет приносить вред на другой работе, но, по крайней мере, не на моей.|human
Royal Mail Tracked 24 (1 working day) for large and expensive goods|Отправление Royal Mail с отслеживанием 24 (1 рабочий день) для крупных и дорогих товаров|human
Royal Mail International Tracked for large and expensive goods|Международное отправление Royal Mail с отслеживанием для крупных и дорогих товаров|human
Royal Mail International Signed for large and expensive goods|Заказное международное отправление Royal Mail для крупных и дорогих товаров|human
Please ensure your order contains the correct shipping address.|Пожалуйста, убедитесь, что в вашем заказе указан корректный почтовый адрес.|human
We accept returns within 60 days from the date you received the purchase.|Мы принимаем возвраты в течение 60 дней с той даты, когда вы получили покупку.|human
Customer satisfaction is very important to us.|Удовлетворенность клиентов очень важна для нас.|human
If you have any problem with your order, please contact us and we will do our best to make you satisfied.|Если у вас есть какая-либо проблема с заказом, пожалуйста, свяжитесь с нами, и мы сделаем все возможное, чтобы удовлетворить вас.|human
Please do not leave a negative feedback.|Пожалуйста, не оставляйте негативный отзыв.|human
We guarantee that your issue will be solved quickly.|Мы гарантируем, что ваша проблема будет быстро решена.|human
As long as you are happy with your purchase, please leave a positive feedback for us.|Если вы довольны вашей покупкой, пожалуйста, оставьте для нас положительный отзыв.|human
Your feedback is very important to us.|Обратная связь от вас очень важна для нас.|human
Thank you for taking the time to chat to me today.|Спасибо, что уделили время, чтобы поговорить со мной сегодня.|human
Once this chat has ended you will be sent a 'rate my chat' feedback email.|После закрытия диалога вам будет отправлено электронное письмо с формой для обратной связи «Оцените диалог со мной».|human
Please kindly fill this in if you have a moment, however if you don't have time then may I wish you a wonderful day and thank you again.|Пожалуйста, заполните ее, если у Вас есть свободное время, однако, если Вам некогда, желаю Вам хорошего дня и снова благодарю Вас.|human
Water heater temp and bath issue.|Температура водонагревателя и проблема мытья.|human
My water heater is set pretty low.|Мой водонагреватель закреплен довольно низко.|human
It’s a small tank in a closet (I live in an old pre-war apartment).|Это маленький резервуар в чулане (я живу в старой довоенной квартире).|human
Question is, it does fill the bathtub up all the way without going cold.|Вопрос в том, что он наполняет ванну полностью, не остывая.|human
If I only bathe once a week (but shower every 2 days or so) and the heater has enough water for quick showers, is it worth turning up the heat for the once a week bath?|Если я моюсь только один раз в неделю (но принимаю душ каждые два дня или около того) и в водонагревателе достаточно воды для недолгого мытья, стоит ли поднимать температуру, чтобы принять ванну один раз в неделю?|human
Or would I save more electricity heating up my stock pot on the stove and adding it to the bath once the water heater is emptied?|Или я сэкономлю больше электричества, если буду греть кастрюлю на плите и добавлять в ванну, когда водонагреватель опустеет?|human
I turned up the heat just a little and it did the trick.|Я всего лишь немного повысил температуру и это помогло.|human
The comment about boiling being inefficient is probably correct bc even though the water heater is running continuously, that thing has SO MUCH insulation.|Комментарий о том, что нагревать невыгодно, вероятно, верный, потому что, хотя водонагреватель работает постоянно, там ТАК МНОГО изоляции.|human
It’s hard to get to so I’m leaving it at that temp and calling it a day.|Его трудно достать, поэтому я оставлю его с этой температурой и дело с концом.|human
Thanks for contacting #PRS_ORG#, you are through to #NAME#|Спасибо, что связались с #PRS_ORG#, вы обратились к #NAME#|human
So that I can assist you can you please provide your account details (Full Name, E-mail address, Postal Address and Order Number)|Чтобы я мог Вам помочь, пожалуйста, предоставьте сведения о Вашей учетной записи (полное имя, адрес электронной почты, почтовый адрес и номер заказа)|human
Thank you for the information.|Спасибо за предоставленные сведения.|human
I will be more than happy to assist you.|Для меня было бы большей радостью помочь Вам.|human
Please allow me a moment to verify the account.|Подождите немного, пока я проверяю учетную запись.|human
Thanks for waiting|Спасибо за ожидание|human
I am sorry that you are experiencing this issue, I will do my best to assist you.|Сожалею, что Вы столкнулись с данной проблемой, я постараюсь помочь Вам.|human
Please let me know what is your #PRS_ORG# model|Сообщите мне, какая у Вас модель #PRS_ORG#|human
Erectile dysfunction can be emotionally and financially demanding, which is why Encore provides one of the most affordable penis pumps available on the market.|Эректильная дисфункция может быть эмоционально и финансово требовательной, вот почему Encore предоставляет один из самых приемлемых эректильных насосов, доступных на рынке.|human
This multi powered vacuum pump has a special grip handle built into the pump head that gives the user excellent control over the pumping and suction process.|Этот многофункциональный вакуумный насос имеет специальную рукоятку для захвата, встроенную в головку насоса, что дает пользователю отличный контроль над процессами накачивания и всасывания.|human
Vacuum therapy has been proven to effectively treat erectile dysfunction in over 95% of men without any major side effects or medication.|Эффективность вакуумной терапии в лечении эректильной дисфункции была подтверждена более чем у 95 % мужчин без каких-либо серьезных побочных эффектов или препаратов.|human
The pump head and cylinder are both covered by a lifetime manufacturer warranty, meaning that Encore will replace either part in the event of breakage or malfunction.|Головка насоса и цилиндр покрываются пожизненной гарантией производителя, что означает, что Encore заменит деталь в случае поломки или неисправности.|human
After a little practice, vacuum therapy with this system becomes easy and comfortable.|После небольшой практики, вакуумная терапия с этой системой становится простой и удобной.|human
In addition, VVI includes several additional items in this kit that makes the process fast and user-friendly.|К тому же, VVI содержит несколько дополнительных элементов в наборе, что делает процесс быстрым и удобным для пользователя.|human
The patented ring ejector, loading cone, and lubricant included in the kit help to apply the tension bands after pumping.|Патентованный кольцевой эжектор, загрузочный конус и смазка, включенные в набор, помогают закрепить ленты натяжения после накачивания.|human
Tension bands, also known as penis rings, help sustain the erection once it has been achieved with the pump.|Ленты натяжения, также известные как эрекционные кольца, помогают поддерживать эрекцию, как только она возникла, с помощью насоса.|human
This kit includes comes with an assortment of tension bands, in the most popular sizes, to help the user find the most effective tension level.|Этот набор включает идущие в ассортименте ленты натяжения наиболее популярных размеров, чтобы помочь пользователю найти наиболее эффективный уровень натяжения.|human
To top it off, the whole kit fits in a sleek and discreet carrying bag that stores virtually anywhere.|В довершение ко всему, весь набор помещается в стильную и сдержанную сумку для переноски, которая может храниться почти всюду.|human
VVI Medical understands that a lot of individuals want to keep their sexual lives private, which is why we will take the utmost discretion when shipping this product.|VVI Medical осознает, что многие люди хотят сохранить конфиденциальность своей сексуальной жизни, вот почему мы проявим максимальную осмотрительность при отправке данного продукта.|human
You will receive your shipment of the Encore Deluxe Manual/ Battery powered Vacuum Erection Penis Pump in a plain box.|Вы получите свою посылку с Encore Deluxe Manual / Battery powered Vacuum Erection Penis Pump в обычной коробке.|human
No prescription required to purchase this pump.|Для заказа этого насоса не требуется рецепт.|human
For international orders, we cannot change the address.|Мы не можем менять адрес для зарубежных заказов.|human
If there is a mistake, please let us know as soon as possible so that we can cancel the order and so that you can re-purchase with the correct address.|Если произошла ошибка, пожалуйста, сообщите нам как можно скорее, таким образом, мы сможем отменить заказ, а вы можете оформить покупку еще раз с верным адресом.|human
Q. Can I have the measurements of an item?|Вопрос. Я могу узнать размеры товара?|human
A. Please check both the listing description and the pictures in the listing.|Ответ. Пожалуйста, ознакомьтесь с перечнем и изображением в перечне.|human
Whenever possible, we will attempt to put up a size guide.|По возможности мы всегда стараемся размещать справочник по размерам.|human
If you can’t find a size guide, please contact us.|Если вы не можете найти справочник по размерам, пожалуйста, свяжитесь с нами.|human
Q. How does the clothing compare to my country's sizes?|Вопрос. Каково соотношение размеров этой одежды к размерам в моей стране?|human
A. Unless stated otherwise, all items were designed for the UK market.|Ответ. Если не указано другое, все продукты рассчитаны на рынок Великобритании.|human
If you are in North America, the sizing in the UK is slightly smaller so you may need to go up one size.|Если вы находитесь в Северной Америке, размеры будут немного меньше, чем в Великобритании, поэтому вы можете выбрать на размер больше.|human
Please see size charts for further guidance.|Ознакомьтесь с таблицей размеров для последующего обращения.|human
Normally, the UK sizes are the same as the EU sizes and shouldn’t need to be altered.|Обычно размеры в Великобритании такие же, как и в Европейском союзе и не должны отличаться.|human
If you require a receipt, please send us a message and we can have one emailed over.|Если вам нужен чек, пожалуйста, отправьте нам сообщение и мы отправим его по электронной почте.|human
Is it possibly lost?|Его могли потерять?|human
Q. I am outside of the EU.|Вопрос. Я нахожусь за пределами Европейского союза.|human
The other thing we need you to try is to reset the USB ports in your computer.|Кроме того, Вам следует попробовать сбросить USB-порты Вашего компьютера.|human
You can find instructions to do this in the following link: #URL#|Вы можете найти инструкции по выполнению этого действия по следующей ссылке: #URL#|human
Please make sure to try the three methods listed in there.|Попробуйте применить три метода, представленные здесь.|human
If after trying them the issue remains, please make sure to contact us again|Если после этого проблема сохраняется, обратитесь к нам повторно|human
I was buying new tires.|Я покупал новые шины.|human
I found the ones I wanted on a tire store website.|Я нашел те, какие хотел, на сайте магазина шин.|human
I printed out the page and took it to my local shop.|Я распечатал страницу и принес ее в местный магазин.|human
It was part of a chain.|Это была часть цепочки.|human
The guy at the shop checked things out and it turns out that the current price of the tires was more than my printout.|Парень в магазине все проверил, и оказалось, что текущая цена шин была больше, чем на моей распечатке.|human
Don’t know where he got the higher price from.|Не знаю, откуда он взял более высокую цену.|human
Luckily, the guy was honest and rather than trying to charge the higher price, he sold me the tires for the price I had on my printout.|К счастью, парень был честным и вместо того, чтобы назначить более высокую цену, он продал мне шины по той цене, которая была в моей распечатке.|human
He said that because I had the printout, he had to sell me the tires at the printout price.|Он сказал, что из-за того, что у меня есть распечатка, ему пришлось продать мне шины по цене, как в распечатке.|human
He was gracious about it too.|Он также был любезен.|human
Been buying tires from them ever since.|С тех пор покупаю шины у них.|human
It was prior to 2018.|Это было до 2018 года.|human
I got stranded by US Air in Philadelphia instead of taking me all the way to Newark, and me and a dozen other people were trying to get cars late in the evening.|Я застрял в Филадельфии из-за US Air, вместо того, чтобы ехать в Ньюарк, и поздно вечером я и еще дюжина человек пытались найти машины.|human
The counter people were the worst I have ever seen.|Люди за прилавком были самыми ужасными из всех, что я видел.|human
A line out the door and they were taking breaks and talking about random non-work related stuff like we weren’t even here.|Очередь выходила за двери, а они отдыхали и разговаривали о случайных вещах, не связанных с работой, как будто нас там вообще не было.|human
I had a confirmed reservation went.|У меня была подтвержденная бронь.|human
After an hour of waiting, I told her what I had reserved and she loudly accused me of lying to her and told me off.|Спустя час ожидания, я сказал ей, что я выполнил бронирование, и она громко обвинила меня в том, что я солгал ей, и отчитала меня.|human
I finally gave up and walked over to Hertz, who charged me a fortune, but they got me a car right away.|Наконец я сдался и пошел в Hertz, где с меня взяли целое состояние, но они сразу предоставили мне машину.|human
I swore to never use Avis again.|Я поклялся никогда не пользоваться Avis снова.|human
Worst car experience ever.|Наихудший автомобильный опыт.|human
National & Hertz have always been good experiences for me.|В National и Hertz у меня всегда был хороший опыт.|human
Those two, followed by Enterprise.|За теми двумя идет Enterprise.|human
To repair your account on the #PRS_ORG# app, please follow the steps indicated below:|Чтобы восстановить свою учетную запись в приложении #PRS_ORG#, пожалуйста, следуйте указанным ниже действиям:|human
From the #PRS_ORG# App's home screen, tap More at the bottom of the screen.|На главном экране приложения #PRS_ORG# нажмите «Подробнее» в нижней части экрана.|human
Please follow the steps indicated below to perform a sync repair on your #PRS_ORG# (you will need a Wi-Fi connection before you start):|Пожалуйста, выполните действия, указанные ниже, чтобы выполнить восстановление синхронизации на своем #PRS_ORG# (вам понадобится Wi-Fi-соединение перед началом):|human
Go to your Home screen.|Перейдите на главный экран.|human
Tap Device information.|Нажмите «Сведения об устройстве».|human
Beside Repair/restore your #PRS_ORG# account, tap Repair/Restore.|Рядом с «Восстановить учетную запись #PRS_ORG#» нажмите «Восстановить / Вернуть».|human
Tap Repair now/Restore|Нажмите «Восстановить сейчас / Вернуть»|human
When the syncing has completed, please tap again on Sync Now, to install any available upgrades.|По завершении синхронизации, пожалуйста, повторно нажмите на «Синхронизировать сейчас», чтобы установить все доступные обновления.|human
and ydo your first purchase from the #PRS_ORG# website|Вы делаете первый заказ с веб-сайта #PRS_ORG#|human
To update your payment information please follow these steps:|Чтобы обновить Ваши платежные данные, выполните следующие действия:|human
Log in to your #PRS_ORG# account.|Войдите в свою учетную запись #PRS_ORG#.|human
Click on "My Account" and in the menu select "Account Settings”|Нажмите «Моя учетная запись» и выберите в меню «Настройки учетной записи»|human
Select the “Payment Information” tab.|Выберите вкладку «Платежные данные».|human
Under “Payment Information”, select the type of credit card and enter your card number, security code (CVV), name on the card, and expiration date.|Во вкладке «Платежные данные» выберите тип кредитной карты и введите номер Вашей карты, код безопасности (CVV), имя на карте и срок действия.|human
To do this, please follow these instructions:|Для этого выполните следующие инструкции:|human
If possible, back up any books or documents that you added to your eReader using #PRS_ORG#, or that you manually added using your computer.|По возможности сделайте резервные копии книг или документов, которые вы добавили на вашу электронную книгу с помощью #PRS_ORG#, или которые Вы добавили вручную через компьютер.|human
You do not need to back up any books you bought from #PRS_ORG#.|Нет необходимости делать резервные копии книг, которые Вы купили на #PRS_ORG#.|human
Any books you purchased from #PRS_ORG# can be re-downloaded from the #PRS_ORG# #PRS_ORG# after a factory reset.|Любые книги, купленные на #PRS_ORG# можно повторно загрузить с #PRS_ORG# #PRS_ORG# после сброса настроек до заводских.|human
Go to your Home screen.|Вернитесь на главный экран.|human
Tap Home at the top of the screen.|Нажмите «Главный экран» в верхней части экрана.|human
Tap Settings.|Нажмите «Настройки».|human
Tap Device information.|Нажмите «Сведения об устройстве».|human
Tap Factory reset under Advanced.|В «Продвинутые» нажмите «Сбросить до заводских настроек».|human
Tap Reset Now.|Нажмите «Сброс».|human
I'm still with you|Я все еще с Вами|human
Yep…we guys all have guns.|Да... у нас у всех есть пушки.|human
Even babies.|Даже дети.|human
We all walk around with them like it’s the Wild West.|Мы все ходим с ними, как будто это Дикий Запад.|human
I don’t even know where to begin here.|Я даже не знаю, с чего тут начать.|human
You honestly think that a crackhead would own an expensive gun, and then save up enough money for ammo?|Вы правда думаете, что наркоман мог бы владеть дорогим огнестрельным оружием и затем накопить достаточно денег на патроны?|human
A crack head is not a “professional mugger.”|Наркоман — это не «профессиональный уличный грабитель».|human
Stabbings don’t get the same press treatment as shootings.|Поножовщине не уделяется столько внимания в прессе, сколько стрельбе.|human
Just because the press doesn’t highlight something doesn’t mean it’s not happening.|Просто потому, что пресса подробно не освещает что-то, не означает, что это не происходит.|human
WTF does this have to do with race?|Да как это, черт возьми, вообще связано с расой?|human
It doesn't have anything to do with income or living alone.|Это никак не связано с уровнем дохода или отдельным проживанием.|human
Services and consideration for the disabled (as well as the poor) just aren't close to where they should be.|Внимание к нуждам людей с ограниченными возможностями (так же, как и к бедных) и их обслуживание просто не соответствуют тому уровню, на котором они должны быть.|human
We treat the disabled like crap.|Мы относимся к людям с ограниченными возможностями как к отбросам.|human
We treat the poor like crap.|Мы относимся к бедным как к отбросам.|human
Everyone in the US should be ashamed.|Всем жителям США должно быть стыдно.|human
You're correct that our society needs to value human life more.|Вы правы, нашему обществу нужно больше ценить человеческую жизнь.|human
If we did, we'd see these mass gun shootings go down.|Если бы мы так поступали, мы бы увидели, что сократилось бы число этих массовых перестрелок.|human
We'd see fewer traffic accidents and deaths.|Мы бы увидели меньше транспортных аварий и смертей.|human
Health care and child care would be affordable and much easier access, and so on.|Медицинское обслуживание и уход за детьми стали бы бюджетными и более доступными и так далее.|human
Unfortunately, American society has "accepted" the statistics of hardship, deaths and other casualties as just "a way of life"...in exchange for "freedom" or some such BS.|К сожалению, американское общество «приняло» статистику лишений, смертей и других жертв, как просто «жизненный уклад»... в обмен на «свободу» и прочую такую же чушь.|human
