Dominic Raab: Government can't make apologies for Spain quarantine decision|Доминик Рааб: Правительство не может извиниться за решение Испании о карантине|mt
The number of countries imposing travel restrictions is growing. As of this week, the Czech Republic wants coronavirus tests for Bulgarian seasonal workers. Denmark allows Bulgarians on its territory only if they have an address registration there, an employment contract or a document certifying a business trip.|Число стран, вводящих ограничения на поездки, растет. На этой неделе Чешская Республика хочет провести тесты на коронавирус для болгарских сезонных рабочих. Дания допускает болгар на свою территорию только в том случае, если у них есть адресная регистрация, трудовой договор или документ, подтверждающий командировку.|mt
The number of countries imposing travel restrictions is growing. As of this week, the Czech Republic wants coronavirus tests for Bulgarian seasonal workers. Denmark allows Bulgarians on its territory only if they have an address registration there, an employment contract or a document certifying a business trip.|Растет число стран, вводящих ограничения на поездки. С этой недели Чешская Республика хочет провести тесты на коронавирус для болгарских сезонных рабочих. Дания допускает болгар на свою территорию только в том случае, если у них есть регистрация по адресу, трудовой договор или документ, подтверждающий деловую поездку.|mt
The number of countries imposing travel restrictions is growing. As of this week, the Czech Republic wants coronavirus tests for Bulgarian seasonal workers. Denmark allows Bulgarians on its territory only if they have an address registration there, an employment contract or a document certifying a business trip.|Число стран, вводящих ограничения на поездки, растет. С этой недели Чешская Республика требует проведения тестов на коронавирус для болгарских сезонных рабочих. Дания допускает болгар на свою территорию только в том случае, если они имеют там адресную регистрацию, трудовой договор или документ, подтверждающий деловую поездку.|mt
From Tuesday, those traveling by plane from Bulgaria to Greece will have to present to the Greek border authorities a negative result from a PCR test for coronavirus, performed up to 72 hours before their entry into our southern neighbor, the Ministry of Foreign Affairs announced.|Со вторника те, кто летит самолетом из Болгарии в Грецию, должны будут представить пограничным властям Греции отрицательный результат теста ПЦР на коронавирус, проведенного за 72 часа до их въезда в нашего южного соседа, объявило министерство иностранных дел.|mt
From Tuesday, those traveling by plane from Bulgaria to Greece will have to present to the Greek border authorities a negative result from a PCR test for coronavirus, performed up to 72 hours before their entry into our southern neighbor, the Ministry of Foreign Affairs announced.|Со вторника пассажиры, путешествующие самолетом из Болгарии в Грецию, должны будут представить греческим пограничным властям отрицательный результат ПЦР-теста на коронавирус, проведенного за 72 часа до их въезда в наш южный сосед, сообщило Министерство иностранных дел.|mt
From Tuesday, those traveling by plane from Bulgaria to Greece will have to present to the Greek border authorities a negative result from a PCR test for coronavirus, performed up to 72 hours before their entry into our southern neighbor, the Ministry of Foreign Affairs announced.|Со вторника те, кто летит на самолете из Болгарии в Грецию, должны будут представить греческим пограничным властям отрицательный результат ПЦР-теста на коронавирус, выполненного за 72 часа до их въезда в наш южный сосед, сообщили в МИД.|mt
The measure does not apply to Greek citizens, citizens residing in Greece and travelers for significant professional reasons.|Эта мера не распространяется на граждан Греции, граждан, проживающих в Греции, и путешественников по значительным профессиональным причинам.|mt
The measure does not apply to Greek citizens, citizens residing in Greece and travelers for significant professional reasons.|Эта мера не распространяется на граждан Греции, граждан, проживающих в Греции, и путешественников по важным профессиональным причинам.|mt
The measure does not apply to Greek citizens, citizens residing in Greece and travelers for significant professional reasons.|Эта мера не распространяется на греческих граждан, граждан, проживающих в Греции, и путешественников по существенным профессиональным причинам.|mt
The closure of the Ilinden, Kapitan Petko Voyvoda and Makaza checkpoints has increased traffic across the border near Petrich. There are no problems with the transition. There are no queues of trucks. All those waiting go to sea in Greece. Travelers wait about an hour and a half to cross the Tower.|Закрытие контрольно-пропускных пунктов Илинден, Капитан Петко Войвода и Макаца привело к увеличению интенсивности движения через границу в районе Петрича. Проблем с переходом нет. Очередей из грузовиков нет. Все ожидающие отправляются на море в Грецию. Путешественники ждут около полутора часов, чтобы пересечь Башню.|mt
The closure of the Ilinden, Kapitan Petko Voyvoda and Makaza checkpoints has increased traffic across the border near Petrich. There are no problems with the transition. There are no queues of trucks. All those waiting go to sea in Greece. Travelers wait about an hour and a half to cross the Tower.|Закрытие контрольно-пропускных пунктов Илинден, Капитан Петко Войвода и Маказа увеличило движение через границу возле Петрича. Никаких проблем с переходом нет. Очереди на грузовиках нет. Все, кто ждет, отправляются в море в Грецию. Путешественники ждут около полутора часов, чтобы пересечь Башню.|mt
The closure of the Ilinden, Kapitan Petko Voyvoda and Makaza checkpoints has increased traffic across the border near Petrich. There are no problems with the transition. There are no queues of trucks. All those waiting go to sea in Greece. Travelers wait about an hour and a half to cross the Tower.|Закрытие контрольно-пропускных пунктов Илинден, Капитан Петко Воевода и Маказа привело к увеличению трафика через границу в районе Петрича. Никаких проблем с переходом нет. Очередей из грузовиков нет. Все, кто ждет, отправляются на море в Грецию. Путешественники ждут около полутора часов, чтобы пересечь Башню.|mt
The closure of the Ilinden, Kapitan Petko Voyvoda and Makaza checkpoints has increased traffic across the border near Petrich. There are no problems with the transition. There are no queues of trucks. All those waiting go to sea in Greece. Travelers wait about an hour and a half to cross the Tower.|Закрытие контрольно-пропускных пунктов Ильинден, Капитан Петко Войвода и Маказа увеличило движение через границу возле Петрича. Проблемы с переходом нет, очередей из грузовиков нет, все ожидающие отправляются в море в Греции. Путешественники ждут около полутора часов, чтобы пересечь башню.|mt
The closure of the Ilinden, Kapitan Petko Voyvoda and Makaza checkpoints has increased traffic across the border near Petrich. There are no problems with the transition. There are no queues of trucks. All those waiting go to sea in Greece. Travelers wait about an hour and a half to cross the Tower.|Закрытие контрольно-пропускных пунктов Илинден, Капитан Петко Войвода и Маказа увеличило движение через границу в районе Петрича. С переходом проблем нет. Очередей грузовиков нет. Все ожидающие отправляются в море в Греции. Путешественники ждут около полутора часов, чтобы пересечь Башню.|mt
The closure of the Ilinden, Kapitan Petko Voyvoda and Makaza checkpoints has increased traffic across the border near Petrich. There are no problems with the transition. There are no queues of trucks. All those waiting go to sea in Greece. Travelers wait about an hour and a half to cross the Tower.|Закрытие КПП "Илинден", "Капитан Петко Воевода" и "Маказа" увеличило трафик через границу в районе Петрича. Проблем с переходом нет. Очередей из грузовиков нет. Все ожидающие выходят в море в Греции. Путешественники ждут около полутора часов, чтобы пересечь Тауэр.|mt
Firefighters gain ground on Lassen County blazes|Пожарные затмили почву под пламенем в округе Лассен|mt
Firefighters gain ground on Lassen County blazes|Пожарные укрепляются в борьбе с пожарами в округе Лассен|mt
Firefighters gain ground on Lassen County blazes|Пожарные приземлились в огне округа Лассен|mt
The Gold fire, which started south of Adin, is 40% contained as it continues to threaten homes and ranches as well as agriculture, livestock and timber operations, Cal Fire officials said in an update Saturday morning.|В субботу утром официальные лица Cal Fire сообщили, что золотой пожар, начавшийся к югу от Адина, локализован на 40%, поскольку он продолжает угрожать домам и ранчо, а также сельскому хозяйству, животноводству и лесозаготовкам.|mt
The Gold fire, which started south of Adin, is 40% contained as it continues to threaten homes and ranches as well as agriculture, livestock and timber operations, Cal Fire officials said in an update Saturday morning.|Золотой пожар, начавшийся к югу от Адина, на 40% сдерживается, так как он продолжает угрожать домам и ранчо, а также сельскому хозяйству, животноводству и лесозаготовительным операциям, сообщили сотрудники Cal Fire в обновлении в субботу утром.|mt
The Gold fire, which started south of Adin, is 40% contained as it continues to threaten homes and ranches as well as agriculture, livestock and timber operations, Cal Fire officials said in an update Saturday morning.|Золотой пожар, который начался к югу от Адина, сдерживается на 40%, поскольку он продолжает угрожать домам и ранчо, а также сельскому хозяйству, животноводству и лесозаготовинным операциям, сообщили представители Cal Fire в субботу утром.|mt
The Gold fire, which started south of Adin, is 40% contained as it continues to threaten homes and ranches as well as agriculture, livestock and timber operations, Cal Fire officials said in an update Saturday morning.|Золотой пожар, начавшийся к югу от Адина, сдерживается на 40%, поскольку он продолжает угрожать домам и ранчо, а также сельскому хозяйству, животноводству и лесоводству, сообщили официальные лица Cal Fire в обновлении в субботу утром.|mt
After burning for four days, the fire has chewed through 21,000 acres, destroyed seven homes and sent two firefighters to the hospital.|После горения в течение четырех дней огонь прожевал 21 000 акров, разрушил семь домов и отправил двух пожарных в больницу.|mt
After burning for four days, the fire has chewed through 21,000 acres, destroyed seven homes and sent two firefighters to the hospital.|После горения в течение четырех дней огонь прожевал 21 тысячу акров, уничтожил семь домов и отправил двух пожарных в больницу.|mt
After burning for four days, the fire has chewed through 21,000 acres, destroyed seven homes and sent two firefighters to the hospital.|После сожжения в течение четырех дней пожар пережевал 21 000 акров, разрушил семь домов и отправил двух пожарных в больницу.|mt
The fire settled down overnight as firefighters worked to mop up and strengthen control lines, according to the California Department of Forestry and Fire Protection.|По данным Калифорнийского департамента лесного хозяйства и противопожарной защиты, пожар утих за ночь, когда пожарные работали над очисткой и укреплением линий управления.|mt
The fire settled down overnight as firefighters worked to mop up and strengthen control lines, according to the California Department of Forestry and Fire Protection.|Пожар улегся ночью, когда пожарные работали над зачисткой и укреплением контрольных линий, по данным Калифорнийского департамента лесного хозяйства и противопожарной защиты.|mt
The fire settled down overnight as firefighters worked to mop up and strengthen control lines, according to the California Department of Forestry and Fire Protection.|Пожар остановился на ночь, когда пожарные работали над уборкой и укреплением линий управления, сообщает Департамент лесного хозяйства и противопожарной защиты Калифорнии.|mt
By Saturday morning, it was 45% contained and had been burning for six days.|К утру субботы он был собран на 45% и горел шесть дней.|mt
By Saturday morning, it was 45% contained and had been burning for six days.|К утру субботы он содержался на 45% и горел шесть дней.|mt
By Saturday morning, it was 45% contained and had been burning for six days.|К утру субботы он был на 45% локализован и горел в течение шести дней.|mt
Thousands of people in the secretive nation were quarantined, but restrictions had recently eased.|Тысячи людей в засекреченной стране были помещены в карантин, но недавно ограничения были ослаблены.|mt
Thousands of people in the secretive nation were quarantined, but restrictions had recently eased.|Тысячи людей в скрытной нации были помещены на карантин, но ограничения недавно смягчились.|mt
Thousands of people in the secretive nation were quarantined, but restrictions had recently eased.|Тысячи людей в этой скрытной стране были помещены в карантин, но недавно ограничения были ослаблены.|mt
Thousands of people in the secretive nation were quarantined, but restrictions had recently eased.|Тысячи людей в этой закрытой стране были помещены на карантин, но недавно ограничения были ослаблены.|mt
Thousands of people in the secretive nation were quarantined, but restrictions had recently eased.|Тысячи людей в скрытной стране были помещены в карантин, но недавно ограничения были ослаблены.|mt
Thousands of people in the secretive nation were quarantined, but restrictions had recently eased.|Тысячи людей в скрытной стране были помещены в карантин, но ограничения недавно ослабли.|mt
Threats to Australian democracy are closer to home than China|Угрозы австралийской демократии ближе к дому, чем Китай|mt
Threats to Australian democracy are closer to home than China|Угрозы австралийской демократии ближе к Китаю|mt
But a series of recently passed or pending measures in the Commonwealth Parliament give rise to concerns about our own, home-grown authoritarianism.|Но ряд недавно принятых или ожидаемых мер в парламенте Содружества вызывает опасения по поводу нашего собственного доморощенного авторитаризма.|mt
But a series of recently passed or pending measures in the Commonwealth Parliament give rise to concerns about our own, home-grown authoritarianism.|Но ряд недавно принятых или ожидающих принятия мер в парламенте Содружества вызывает обеспокоенность по поводу нашего собственного, доморощенного авторитаризма.|mt
But a series of recently passed or pending measures in the Commonwealth Parliament give rise to concerns about our own, home-grown authoritarianism.|Но ряд недавно принятых или ожидающих принятия мер в парламенте Австралийского Союза заставляет задуматься о нашем собственном авторитаризме.|mt
But a series of recently passed or pending measures in the Commonwealth Parliament give rise to concerns about our own, home-grown authoritarianism.|Однако ряд недавно принятых или ожидающих принятия мер в парламенте Содружества вызывает озабоченность по поводу нашего собственного авторитаризма.|mt
They include a roll out of facial recognition technology, forcing technology companies to decrypt information held on their customers" computer systems, forcing technology companies to provide access to their customers" cloud-based information without notification to the owner of the information and extending ASIO's compulsory questioning powers.|Они включают внедрение технологии распознавания лиц, заставляя технологические компании расшифровать информацию, хранящиеся на компьютерных системах своих клиентов, заставляя технологические компании предоставлять доступ к облачной информации своих клиентов без уведомления владельца информации и расширения Обязательные полномочия ASIO по допросу.|mt
They include a roll out of facial recognition technology, forcing technology companies to decrypt information held on their customers" computer systems, forcing technology companies to provide access to their customers" cloud-based information without notification to the owner of the information and extending ASIO's compulsory questioning powers.|Они включают в себя развертывание технологии распознавания лиц, заставляя технологические компании расшифровывать информацию, хранящейся в компьютерных системах своих клиентов, заставляя технологические компании предоставлять доступ к облачной информации своих клиентов без уведомления владельца информации и расширяя полномочия ASIO по обязательному допросу.|mt
They include a roll out of facial recognition technology, forcing technology companies to decrypt information held on their customers" computer systems, forcing technology companies to provide access to their customers" cloud-based information without notification to the owner of the information and extending ASIO's compulsory questioning powers.|Они включают в себя развертывание технологии распознавания лиц, принуждение технологических компаний расшифровать информацию, хранящуюся в "компьютерных системах" своих клиентов, принуждение технологических компаний предоставлять доступ к облачной информации своих клиентов без уведомления владельца информации и расширение полномочий ASIO по обязательному допросу.|mt
They include a roll out of facial recognition technology, forcing technology companies to decrypt information held on their customers" computer systems, forcing technology companies to provide access to their customers" cloud-based information without notification to the owner of the information and extending ASIO's compulsory questioning powers.|Они включают в себя внедрение технологии распознавания лиц, принуждение технологических компаний расшифровывать информацию, хранящуюся в компьютерных системах их клиентов, принуждение технологических компаний предоставлять доступ к облачной информации своих клиентов без уведомления владельца информации и расширение полномочий ASIO по обязательному опросу.|mt
They include a roll out of facial recognition technology, forcing technology companies to decrypt information held on their customers" computer systems, forcing technology companies to provide access to their customers" cloud-based information without notification to the owner of the information and extending ASIO's compulsory questioning powers.|Они включают в себя развертывание технологии распознавания лиц, принуждение технологических компаний к расшифровке информации, хранящейся в компьютерных системах их клиентов, принуждение технологических компаний к предоставлению доступа к облачной информации их клиентов без уведомления владельца информации и расширение полномочий ASIO по проведению обязательных допросов.|mt
They include a roll out of facial recognition technology, forcing technology companies to decrypt information held on their customers" computer systems, forcing technology companies to provide access to their customers" cloud-based information without notification to the owner of the information and extending ASIO's compulsory questioning powers.|Они включают в себя внедрение технологии распознавания лиц, принуждение технологических компаний расшифровывать информацию, хранящуюся в компьютерных системах их клиентов, принуждение технологических компаний предоставлять доступ к облачной информации своих клиентов без уведомления владельца информации и расширение полномочий ASIO по принудительному допросу.|mt
They include a roll out of facial recognition technology, forcing technology companies to decrypt information held on their customers" computer systems, forcing technology companies to provide access to their customers" cloud-based information without notification to the owner of the information and extending ASIO's compulsory questioning powers.|Они включают в себя развертывание технологии распознавания лиц, вынуждающую технологические компании расшифровывать информацию, хранящуюся в компьютерных системах своих клиентов, вынуждающие технологические компании предоставлять доступ к облачной информации своих клиентов без уведомления владельца информации и расширение обязательных ASIO допрос полномочия.|mt
These measures raise serious questions about the border between citizens and government, but the ASIO Bill is particularly worrying.|Эти меры поднимают серьезные вопросы о границе между гражданами и правительством, но законопроект ASIO вызывает особую тревогу.|mt
These measures raise serious questions about the border between citizens and government, but the ASIO Bill is particularly worrying.|Эти меры вызывают серьезные вопросы о границе между гражданами и правительством, но особую тревогу вызывает законопроект об ASIO.|mt
These measures raise serious questions about the border between citizens and government, but the ASIO Bill is particularly worrying.|Эти меры поднимают серьезные вопросы о границе между гражданами и правительством, но законопроект ASIO вызывает особое беспокойство.|mt
These measures raise serious questions about the border between citizens and government, but the ASIO Bill is particularly worrying.|Эти меры вызывают серьезные вопросы о границе между гражданами и правительством, но законопроект ASIO вызывает особую тревогу.|mt
These measures raise serious questions about the border between citizens and government, but the ASIO Bill is particularly worrying.|Эти меры вызывают серьезные вопросы о границе между гражданами и правительством, но законопроект ASIO вызывает особое беспокойство.|mt
Unlike any of the other Five Eyes countries - United States, Canada, the United Kingdom and New Zealand - in the wake of September 11, ASIO was given power to compulsorily question people for up to seven days in relation to terrorism offences.|В отличие от любой из других стран Five Eyes - США, Канады, Великобритании и Новой Зеландии - после 11 сентября ASIO было дано право принудительно допрашивать людей на срок до семи дней в связи с террористическими преступлениями.|mt
Unlike any of the other Five Eyes countries - United States, Canada, the United Kingdom and New Zealand - in the wake of September 11, ASIO was given power to compulsorily question people for up to seven days in relation to terrorism offences.|В отличие от других стран "пяти глаз" - США, Канады, Великобритании и Новой Зеландии - после 11 сентября ASIO получило право принудительно допрашивать людей в течение семи дней в связи с преступлениями терроризма.|mt
Unlike any of the other Five Eyes countries - United States, Canada, the United Kingdom and New Zealand - in the wake of September 11, ASIO was given power to compulsorily question people for up to seven days in relation to terrorism offences.|В отличие от любой из других стран «Пяти глаз» — Соединенных Штатов, Канады, Соединенного Королевства и Новой Зеландии — после 11 сентября ASIO получила право в принудительном порядке допрашивать людей на срок до семи дней в связи с террористическими преступлениями.|mt
Unlike any of the other Five Eyes countries - United States, Canada, the United Kingdom and New Zealand - in the wake of September 11, ASIO was given power to compulsorily question people for up to seven days in relation to terrorism offences.|В отличие от других стран "Пяти глаз" - США, Канады, Великобритании и Новой Зеландии - после 11 сентября ASIO было предоставлено право в обязательном порядке допрашивать людей на срок до семи дней в связи с преступлениями, связанными с терроризмом.|mt
While it might be accepted that the extreme violence associated with terrorism offences justifies extraordinary powers - extreme violence at least offers a bright line border around these extraordinary powers.|Хотя можно признать, что крайнее насилие, связанное с террористическими преступлениями, оправдывает чрезвычайные полномочия - крайнее насилие, по крайней мере, дает яркую границу вокруг этих чрезвычайных полномочий.|mt
While it might be accepted that the extreme violence associated with terrorism offences justifies extraordinary powers - extreme violence at least offers a bright line border around these extraordinary powers.|Хотя можно согласиться с тем, что крайняя жестокость, связанная с преступлениями терроризма, оправдывает чрезвычайные полномочия - крайняя жестокость, по крайней мере, предлагает яркую границу вокруг этих чрезвычайных полномочий.|mt
While it might be accepted that the extreme violence associated with terrorism offences justifies extraordinary powers - extreme violence at least offers a bright line border around these extraordinary powers.|Хотя можно было бы согласиться с тем, что крайнее насилие, связанное с преступлениями терроризма, оправдывает чрезвычайные полномочия, крайнее насилие, по крайней мере, предлагает яркую границу вокруг этих чрезвычайных полномочий.|mt
While it might be accepted that the extreme violence associated with terrorism offences justifies extraordinary powers - extreme violence at least offers a bright line border around these extraordinary powers.|Хотя можно согласиться с тем, что крайнее насилие, связанное с террористическими преступлениями, оправдывает чрезвычайные полномочия, крайнее насилие, по крайней мере, обеспечивает яркую границу вокруг этих исключительных держав.|mt
While it might be accepted that the extreme violence associated with terrorism offences justifies extraordinary powers - extreme violence at least offers a bright line border around these extraordinary powers.|Хотя можно согласиться с тем, что крайнее насилие, связанное с террористическими преступлениями, оправдывает чрезвычайные полномочия - крайнее насилие, по крайней мере, предлагает четкую границу вокруг этих чрезвычайных полномочий.|mt
That certainly cannot be said about the "sweeping and vague" definitions used in this bill to trigger the compulsory questioning power: dealing with information which prejudices Australia's "political, military or economic relations with another country"; or activities in collaboration with a foreign power which are clandestine or deceptive and are "detrimental to Australia's interests."|Этого, безусловно, нельзя сказать о «радикальных и расплывчатых» определениях, которые используются в этом законопроекте для того, чтобы вызвать обязательную власть для оспаривания: речь идет о информации, которая предрассушает «политические, военные или экономические отношения Австралии с другой страной»; или о деятельности в сотрудничестве с иностранной державой, которая являются подпольными или обманчивыми и «наносят ущерб интересам Австралии».|mt
That certainly cannot be said about the "sweeping and vague" definitions used in this bill to trigger the compulsory questioning power: dealing with information which prejudices Australia's "political, military or economic relations with another country"; or activities in collaboration with a foreign power which are clandestine or deceptive and are "detrimental to Australia's interests."|Этого, конечно, нельзя сказать о «широких и расплывчатых» определениях, используемых в этом законопроекте для инициирования принудительного допроса: рассмотрение информации, которая наносит ущерб «политическим, военным или экономическим отношениям Австралии с другой страной»; или деятельность в сотрудничестве с иностранной державой, которая является подпольной или обманчивой и «наносит ущерб интересам Австралии».|mt
That certainly cannot be said about the "sweeping and vague" definitions used in this bill to trigger the compulsory questioning power: dealing with information which prejudices Australia's "political, military or economic relations with another country"; or activities in collaboration with a foreign power which are clandestine or deceptive and are "detrimental to Australia's interests."|Этого, конечно, нельзя сказать об "огульных и расплывчатых" определениях, используемых в данном законопроекте для запуска полномочий по принудительному допросу: работа с информацией, которая наносит ущерб "политическим, военным или экономическим отношениям Австралии с другой страной"; или деятельность в сотрудничестве с иностранной державой, которая является тайной или обманной и "наносит ущерб интересам Австралии".|mt
That certainly cannot be said about the "sweeping and vague" definitions used in this bill to trigger the compulsory questioning power: dealing with information which prejudices Australia's "political, military or economic relations with another country"; or activities in collaboration with a foreign power which are clandestine or deceptive and are "detrimental to Australia's interests."|Этого, конечно, нельзя сказать о "широких и расплывчатых" определениях, используемых в этом законопроекте для запуска принудительного допроса: работа с информацией, которая наносит ущерб "политическим, военным или экономическим отношениям Австралии с другой страной"; или деятельность в сотрудничестве с иностранной державой, которая является тайной или вводящей в заблуждение и "наносит ущерб интересам Австралии".|mt
That certainly cannot be said about the "sweeping and vague" definitions used in this bill to trigger the compulsory questioning power: dealing with information which prejudices Australia's "political, military or economic relations with another country"; or activities in collaboration with a foreign power which are clandestine or deceptive and are "detrimental to Australia's interests."|Этого, конечно, нельзя сказать о "широких и расплывчатых" определениях, используемых в этом законопроекте для инициирования принудительного допроса: работа с информацией, которая наносит ущерб "политическим, военным или экономическим отношениям Австралии с другой страной"; или деятельность в сотрудничестве с иностранной державой, которая является тайной или обманчивой и "наносит ущерб интересам Австралии"."|mt
That certainly cannot be said about the "sweeping and vague" definitions used in this bill to trigger the compulsory questioning power: dealing with information which prejudices Australia's "political, military or economic relations with another country"; or activities in collaboration with a foreign power which are clandestine or deceptive and are "detrimental to Australia's interests."|Этого, конечно же, нельзя сказать о «широких и расплывчатых» определениях, используемых в этом законопроекте для включения принудительного допроса: работа с информацией, которая наносит ущерб «политическим, военным или экономическим отношениям Австралии с другой страной»; или действия в сотрудничестве с иностранной державой, которые являются тайными или обманчивыми и «наносят ущерб интересам Австралии».|mt
It is hard to imagine more "sweeping and vague "national security" legislation" than this.|Трудно представить себе более "огульное и расплывчатое законодательство о "национальной безопасности", чем это.|mt
It is hard to imagine more "sweeping and vague "national security" legislation" than this.|Трудно представить себе более "широкое и расплывчатое законодательство о "национальной безопасности", чем это".|mt
It is hard to imagine more "sweeping and vague "national security" legislation" than this.|Трудно представить более «широкое и расплывчатое» законодательство о национальной безопасности », чем это.|mt
It is hard to imagine more "sweeping and vague "national security" legislation" than this.|Трудно представить себе более "радикальное и расплывчатое" законодательство о национальной безопасности, чем это.|mt
It is hard to imagine more "sweeping and vague "national security" legislation" than this.|Трудно представить себе более «радикальное и расплывчатое законодательство о национальной безопасности», чем это.|mt
It is hard to imagine more "sweeping and vague "national security" legislation" than this.|Трудно представить себе более "широкое и расплывчатое "законодательство о национальной безопасности, чем это.|mt
ASIO would be allowed to compulsorily question anyone about these things - not just suspected offenders.|ASIO будет разрешено принудительно допрашивать любого человека о таких вещах - не только подозреваемых в совершении преступлений.|mt
